,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1585,Mysore Road,700000,Flat / Apartment,807,2,2,2,Battersea,London,SW11 5RZ
1586,Artillery Mansions,2250000,Flat / Apartment,1669,3,3,3, Westminster,London,SW1H 0HY
1587,St. Aubyns Court,750000,Flat / Apartment,1171,3,3,3, Wimbledon,London,SW19 4AQ
1588,High Street,599950,New development,883,2,2,2,Colliers Wood,London,SW19 2BY
1589,Southlands Drive,650000,Flat / Apartment,976,2,2,2,Wimbledon,London,SW19 5QN
1590,Acris Street,1285000,House,1968,5,5,5,Wandsworth,London,SW18 2QP
1591,St. Ann's Crescent,600000,Flat / Apartment,692,2,2,2,,London,SW18 2ND
1592,Grove Hall Court,995000,Flat / Apartment,812,2,2,2, St. John's Wood,London,NW8 9NS
1593,Trinity Road,450000,Flat / Apartment,533,1,1,1,Wandsworth,London,SW18 3RG
1594,Chiltern Place,3950000,New development,1150,2,2,2,66 Chiltern Street,London,W1U 6NJ
1595,Drayton Park,575000,New development,784,2,2,2,,London,N5 1DH
1596,Rosaville Road,1400000,House,1406,4,4,4,Fulham,London,SW6 7BN
1597,Carillon Court,399950,Flat / Apartment,398,1,1,1,Oxford Road,London,W5 3SX
1598,Artichoke Hill,675000,Flat / Apartment,970,2,2,2,,London,E1W 2BA
1599,Riverside Quarter,900000,New development,901,2,2,2,Wandsworth,London,SW18 1PP
1600,Thames Quay,699950,Flat / Apartment,645,1,1,1,Chelsea Harbour,Chelsea,SW10 0UY
1601,Lyston House,835000,Flat / Apartment,1155,3,3,3,Clifton Road,London,SW19 4QY
1602,Grosvenor Hill,750000,Flat / Apartment,815,2,2,2,Wimbledon,London,SW19 4RU
1603,Ballantine Street,939999,House,1171,3,3,3, Wandsworth,London,SW18 1AL
1604,Eastfields Avenue,655000,Flat / Apartment,761,2,2,2,Riverside Quarter,London,SW18 1FQ
1605,Hamilton Terrace,995000,Flat / Apartment,1041,2,2,2,St. John's Wood,London,NW8 9UJ
1606,Ronann Apartments,675000,Flat / Apartment,757,2,2,2, Haggerston,London,N1 5QJ
1607,Alexandra Road,1300000,House,1626,4,4,4,,Twickenham,TW1 2HE
1608,Edward Blore Mews,1095000,House,1322,3,3,3,Egerton Drive,Middlesex,TW7 7FE
1609,Eastbury Road,1050000,House,2562,4,4,4, Watford,Hertfordshire,WD19 4JN
1610,Lavender Sweep,625000,Flat / Apartment,946,2,2,2,Battersea,London,SW11 1HD
1611,Sutherland Avenue,795000,Flat / Apartment,666,2,2,2,Maida Vale,London,W9 1ET
1612,Queens Avenue,1445000,House,2468,6,6,6,Woodford Green,Essex,IG8 0JE
1613,Chiltern Place,5950000,New development,1916,2,2,2,66 Chiltern Street,London,W1U 6NJ
1614,Prior Bolton Street,830000,Flat / Apartment,813,2,2,2,,London,N1 2NX
1615,Barnes Court,495000,Flat / Apartment,758,3,3,3,Lofting Road,London,N1 1JD
1616,Drive Mansions,699950,Flat / Apartment,935,3,3,3,Fulham Road,London,SW6 5JB
1617,Byam Street,1350000,House,1636,4,4,4,,London,SW6 2RB
1618,Greystoke Gardens,400000,Flat / Apartment,764,2,2,2,Hanger Lane,London,W5 1EP
1619,Coleherne Road,865000,Flat / Apartment,559,2,2,2,,London,SW10 9BS
1620,Enmore Gardens,1100000,House,1345,4,4,4,East Sheen,London,SW14 8RF
1621,Cavendish Road,1250000,House,2176,4,4,4,,London,SW12 0BH
1622,Landmark Place At Tower Bridge,4416000,New development,1847,3,3,3,Water Lane,London,EC3R 6EA
1623,Lurline Gardens,699950,Flat / Apartment,831,2,2,2,Battersea,London,SW11 4DB
1624,Eaton Square,1995000,Flat / Apartment,1575,3,3,3,Belgravia,London,SW1W 9DH
1625,Salcott Road,625000,Flat / Apartment,694,2,2,2,,London,SW11 6DF
1626,Connaught Avenue,2395000,House,5300,7,7,7,Loughton,Essex,IG10 4DP
1627,Lofting Road,570000,Flat / Apartment,642,2,2,2,Islington,London,N1 1ET
1628,Newington Green Mansions,450000,Flat / Apartment,595,2,2,2,Green Lanes,London,N16 9BT
1629,Portman Heights,695000,Flat / Apartment,1042,3,3,3, Hampstead,London,NW3 7TW
1630,Palmerston Road,1375000,House,1791,4,4,4,East Sheen,London,SW14 7PZ
1631,Sainfoin Road,1550000,House,2302,4,4,4,,London,SW17 8EP
1632,Blenheim Road,2150000,House,1929,5,5,5,Chiswick,London,W4 1UB
1633,York Mansions,1750000,Flat / Apartment,1660,3,3,3,Prince of Wales Drive,London,SW11 4BW
1634,Albert Terrace,4950000,Flat / Apartment,2610,5,5,5,Primrose Hill,London,NW1 7SU
1635,Ridgmount Road,1100000,House,1685,5,5,5,Wandsworth,London,SW18 2DA
1636,Bartholomew Road,995000,Flat / Apartment,1172,3,3,3,Kentish Town,London,NW5 2AR
1637,Wandsworth Common West Side,475000,Flat / Apartment,650,2,2,2,,London,SW18 2EL
1638,Kings House,495000,Flat / Apartment,696,1,1,1,1 Brightlingsea Place,London,E14 8DB
1639,Chapman Square,1795000,House,2605,4,4,4,Wimbledon,London,SW19 5QR
1640,Devas Road,1795000,House,2001,5,5,5,Wimbledon,London,SW20 8PD
1641,Coleford Road,1350000,House,1519,3,3,3,Wandsworth,London,SW18 1AD
1642,Meldola Yard,475000,Flat / Apartment,584,1,1,1,,London,E9 5NW
1643,Ormond Road,2850000,House,2338,4,4,4,Richmond,Surrey,TW10 6TH
1644,Haldon Road,700000,House,947,2,2,2,Putney,London,SW18 1QG
1645,East Towers,930000,House,1834,5,5,5,Pinner,Middlesex,HA5 1TL
1646,Broxash Road,1575000,House,1986,5,5,5,,London,SW11 6AB
1647,Waverley Court,900000,Flat / Apartment,650,2,2,2,34-37 Beaumont Street,Marylebone,W1G 6DH
1648,Blandford Street,750000,Flat / Apartment,421,1,1,1,,London,W1U 8AG
1649,Pearson Square,2600000,New development,1281,2,2,2,,London,W1T 3BH
1650,Wigmore Place,1950000,Flat / Apartment,1765,2,2,2,Marylebone,London,W1U 2LR
1651,Fitzroy Street,1200000,Flat / Apartment,852,2,2,2,Fitzrovia,London,W1T 6DS
1652,Waverley Court,840000,Flat / Apartment,625,2,2,2, Marylebone,London,W1G 6DH
1653,Gloucester Place,1050000,Flat / Apartment,848,3,3,3,Marylebone,London,W1U 6AW
1654,Lippitts Hill,1065000,House,2625,5,5,5,Loughton,Essex,IG10 4AL
1655,Troy Court,1000000,Flat / Apartment,862,2,2,2,Kensington High Street,London,W8 7RD
1656,Earls Terrace,1100000,Flat / Apartment,706,2,2,2,,London,W8 6LP
1657,John Spencer Square,800000,Flat / Apartment,794,2,2,2,,London,N1 2LZ
1658,Goldsmiths Row,875000,Penthouse,972,2,2,2,,London,E2 8QF
1659,Richmond Road,900000,Flat / Apartment,1055,2,2,2,,London,E8 3QW
1660,East Heath Road,875000,Flat / Apartment,1210,2,2,2,Hampstead,London,NW3 1BN
1661,Redruth Gardens,1795000,House,3796,6,6,6, Esher,Surrey,KT10 0HD
1662,Wolsey Road,935000,House,1583,3,3,3,Esher,Surrey,KT10 8NX
1663,New Road,2695000,House,5164,5,5,5,Esher,Surrey,KT10 9NU
1664,Park Road,2250000,House,2654,5,5,5, Chiswick,London,W4 3HP
1665,Bolingbroke Road,1950000,House,2063,5,5,5,,London,W14 0AJ
1666,Apex Court,475000,New development,474,1,1,1,1 Woodger Road,London,W12 8NW
1667,Brynmaer Road,2500000,House,2235,5,5,5,,London,SW11 4EN
1668,Juer Street,1695000,House,2014,5,5,5,,London,SW11 4RF
1669,Claremont House,550000,New development,540,1,1,1,28 Quebec Way,London,SE16 7FS
1670,Peel Street,2550000,House,1451,3,3,3,,London,W8 7PD
1671,Royal Victoria Patriotic Building,695000,Flat / Apartment,983,1,1,1,,London,SW18 3SX
1672,Gloucester Drive,725000,Flat / Apartment,1323,3,3,3,,London,N4 2LE
1673,College Drive,1600000,House,2609,5,5,5,Thames Ditton,Surrey,KT7 0LB
1674,Warwick Drive,675000,Flat / Apartment,986,3,3,3,Putney,London,SW15 6LD
1675,Coral Apartments,1100000,Penthouse,1809,2,2,2,17 Western Gateway,London,E16 1AQ
1676,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ
1677,Andre Street,635000,Flat / Apartment,840,2,2,2,,London,E8 2AA
1678,Clavering Avenue,1500000,House,2035,5,5,5,Barnes,London,SW13 8DY
1679,Brook Green,4650000,House,3244,6,6,6,,London,W6 7BL
1680,Boatman's Court,695000,New development,734,2,2,2, Putney,London,SW15 1PP
1681,Telfords Yard,865000,Flat / Apartment,1115,2,2,2,,London,E1W 2BQ
1682,Richmond Mansions,1195000,Flat / Apartment,1300,3,3,3,Old Brompton Road,London,SW5 9HN
1683,New Century House,450000,Flat / Apartment,731,2,2,2,8 Jude Street,London,E16 1FG
1684,Eltham Court,475000,New development,639,1,1,1, West Ealing,London,W13 8RA
1685,Orbel Street,700000,Flat / Apartment,1021,2,2,2,,London,SW11 3NZ
1686,York Street,1850000,Flat / Apartment,1454,2,2,2,,London,W1H 4QF
1687,Faraday Road,699950,House,918,3,3,3,Wimbledon,London,SW19 8PA
1688,Cedar Park,700000,House,942,3,3,3, Chigwell,Essex,IG7 5AL
1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
1690,Petergate,750000,House,914,3,3,3,Wandsworth,London,SW11 2UE
1691,Corbiere Court,675000,House,586,2,2,2,Wimbledon,London,SW19 4ND
1692,Guildford House,765000,Flat / Apartment,818,2,2,2,Tollgate Gardens,London,NW6 5FU
1693,East Hill,625000,Flat / Apartment,789,2,2,2,,London,SW18 2HG
1694,Sentis Court,595000,Flat / Apartment,1197,2,2,2, Northwood,Middlesex,HA6 3NG
1695,Clephane Road,675000,Flat / Apartment,803,3,3,3,,London,N1 2FT
1696,Moring Road,1095000,House,1466,4,4,4,,London,SW17 8DN
1697,Cambridge Road,1150000,Flat / Apartment,1012,3,3,3,,London,SW11 4RT
1698,Caledonian Road,860000,Flat / Apartment,1018,2,2,2,,London,N1 0NG
1699,De Laszlo House,2500000,New development,1615,3,3,3, Hampstead,London,NW3 5JY
1700,Highdown Road,3395000,House,3583,6,6,6,Putney,London,SW15 5BU
1701,Lichfield Road,899950,House,1615,3,3,3,,London,E3 5AL
1702,Ashley Gardens,1200000,Flat / Apartment,1077,2,2,2, Victoria,London,SW1P 1HL
1703,Revelstoke Road,595000,Flat / Apartment,947,3,3,3,Southfields,London,SW18 5NN
1704,Florence Court,375000,Flat / Apartment,402,1,1,1,Sunnyside,London,SW19 4SG
1705,The Water Gardens,1180000,Flat / Apartment,1732,3,3,3, Kingston upon Thames,Surrey,KT2 7LF
1706,Arcadian Place,1800000,House,2626,5,5,5,Southfields,London,SW18 5JF
1707,Barham Road,2750000,House,4180,5,5,5,Wimbledon,London,SW20 0ET
1708,Rosehill Road,575000,Flat / Apartment,680,2,2,2,Wandsworth,London,SW18 2NX
1709,Jessica Road,1550000,House,2265,5,5,5,,London,SW18 2QL
1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
1711,Elm Tree Court,600000,Flat / Apartment,514,1,1,1,Elm Tree Road,London,NW8 9JT
1712,Albany Park Road,2700000,House,3705,6,6,6,Kingston upon Thames,Surrey,KT2 5SW
1713,Upper Richmond Road,699950,Flat / Apartment,816,2,2,2,Putney,London,SW15 2DU
1714,Sefton Street,1225000,House,1450,3,3,3,Putney,London,SW15 1NA
1715,Broadfield Lane,950000,New development,849,3,3,3,King's Cross,London,NW1 9DJ
1716,Gloucester Avenue,799999,Flat / Apartment,483,1,1,1,Primrose Hill,London,NW1 8HX
1717,King Edwards Road,1725000,House,2512,5,5,5,Ruislip,Middlesex,HA4 7AQ
1718,Greenhill Court,550000,Flat / Apartment,1899,2,2,2, Northwood,Middlesex,HA6 2BD
1719,Ladbroke Grove,925000,Flat / Apartment,635,1,1,1,,London,W11 2HE
1720,Manchuria Road,1625000,House,2056,4,4,4,,London,SW11 6AE
1721,Bellevue Road,825000,Flat / Apartment,840,2,2,2,,London,SW17 7EB
1722,St. James's Drive,900000,Flat / Apartment,1170,3,3,3,,London,SW17 7RT
1723,Clapham High Street,550000,Flat / Apartment,790,2,2,2,,London,SW4 7TP
1724,Cumberland Mansions,1500000,Flat / Apartment,1186,3,3,3, Marylebone,London,W1H 5ZA
1725,Hepworth Court,750000,Flat / Apartment,627,1,1,1,30 Gatliff Road,London,SW1W 8QN
1726,Cadogan Gardens,1695000,Flat / Apartment,1187,2,2,2,,London,SW3 2RB
1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
1728,Hemingford Road,2399500,House,2222,4,4,4,,London,N1 1BZ
1729,Florence Street,950000,Flat / Apartment,929,3,3,3,,London,N1 2EA
1730,Southgate Road,875000,Flat / Apartment,918,2,2,2,,London,N1 3HX
1731,Barnsbury Square,2250000,House,1642,4,4,4,Barnsbury,London,N1 1JL
1732,South Hill Park Gardens,4395000,House,3292,5,5,5,Hampstead,London,NW3 2TD
1733,Makepeace Mansions,439950,Flat / Apartment,466,1,1,1,Makepeace Avenue,London,N6 6ES
1734,Bridgepoint Place,1795000,House,1669,4,4,4,Hornsey Lane,London,N6 5LJ
1735,Armadale Road,699950,Flat / Apartment,734,2,2,2,,London,SW6 1JP
1736,Bishops Road,815000,Flat / Apartment,969,3,3,3,Fulham,London,SW6 7AD
1737,Letterstone Road,1375000,House,1427,4,4,4,,London,SW6 7BA
1738,Grove Way,1630000,House,3457,6,6,6,Esher,Surrey,KT10 8HQ
1739,Westville Road,1195000,House,1953,5,5,5,Thames Ditton,Surrey,KT7 0UH
1740,St. Leonards Road,1595000,House,3110,4,4,4,Thames Ditton,Surrey,KT7 0RN
1741,New Road,1850000,House,2739,5,5,5,Esher,Surrey,KT10 9NU
1742,Carrington Place,725000,Flat / Apartment,1328,3,3,3, Esher,Surrey,KT10 9SF
1743,Sandown House,895000,Flat / Apartment,1255,2,2,2, Esher,Surrey,KT10 9SL
1744,Wolsey Road,775000,House,1160,3,3,3,Esher,Surrey,KT10 8NT
1745,Courtfield Gardens,2250000,Flat / Apartment,1700,3,3,3,,London,SW5 0PD
1746,Courtfield Gardens,2650000,Flat / Apartment,1393,2,2,2,,London,SW5 0ND
1747,Icon Apartments,480000,Flat / Apartment,732,2,2,2,32 Duckett Street,London,E1 4FX
1748,Streathbourne Road,1975000,House,2827,6,6,6,,London,SW17 8QZ
1749,Linnet Mews,625000,House,638,2,2,2,,London,SW12 8JE
1750,Thurleigh Road,1850000,House,2286,4,4,4,,London,SW12 8TY
1751,Tantallon Road,1600000,House,2201,5,5,5,,London,SW12 8DF
1752,Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
1753,Cranbrook Road,1350000,House,1628,4,4,4,Chiswick,London,W4 2LJ
1754,Copenhagen Gardens,760000,House,919,2,2,2,Chiswick,London,W4 5NN
1755,Eastbourne Road,1600000,House,1983,4,4,4, Chiswick,London,W4 3EB
1756,Old Church Street,500000,Flat / Apartment,373,1,1,1,Chelsea,London,SW3 5BZ
1757,Meredyth Road,2350000,House,2200,5,5,5,Barnes,London,SW13 0DY
1758,Arundel Terrace,1325000,House,1476,3,3,3,Barnes,London,SW13 8DS
1759,Dawes Road,1350000,House,1707,4,4,4,,London,SW6 7EJ
1760,Hunts Paper Factory,850000,Flat / Apartment,906,2,2,2,49 Atalanta Street,London,SW6 6TU
1761,Brackenbury Road,1500000,Duplex,2024,4,4,4,Brackenbury Village,London,W6 0BE
1762,Television Centre,1090000,New development,923,2,2,2,101 Wood Lane,London,W12 7FS
1763,Television Centre,1425000,Flat / Apartment,1067,2,2,2,6 Wood Crescent,London,W12 7GS
1764,Robertson Street,925000,House,1518,4,4,4,,London,SW8 3TJ
1765,Simpson Street,1080000,House,1435,3,3,3,,London,SW11 3HN
1766,Albany Mansions,1100000,Flat / Apartment,942,2,2,2,Albert Bridge Road,London,SW11 4PQ
1767,Latchmere Road,1000000,House,1523,4,4,4,Battersea,London,SW11 2DS
1768,Waterside Point,2500000,Flat / Apartment,1717,2,2,2, Battersea,London,SW11 4PD
1769,Sutherland Street,650000,Flat / Apartment,509,1,1,1,,London,SW1V 4LA
1770,Old Market Square,500000,Flat / Apartment,815,3,3,3,,London,E2 7PQ
1771,Blomfield Villas,499999,Flat / Apartment,360,1,1,1,Little Venice,London,W2 6NQ
1772,Ridgmount Gardens,800000,Flat / Apartment,558,2,2,2,Fitzrovia,London,WC1E 7AX
1773,Rathbone Square,1140000,New development,580,1,1,1, Fitzrovia,London,W1T 1JN
1774,Bryanston Court,2150000,Flat / Apartment,1969,3,3,3, Marylebone,London,W1H 7HE
1775,Craven Street,2000000,Flat / Apartment,1415,2,2,2,,London,WC2N 5NS
1776,Boundaries Road,1475000,House,2366,4,4,4,,London,SW12 8HF
1777,Blandford Street,695000,Flat / Apartment,429,1,1,1,,London,W1U 8AG
1778,Huntsmore House,1895000,Penthouse,1447,3,3,3,35 Pembroke Road,London,W8 6LZ
1779,Highbury Gardens,500000,Flat / Apartment,563,1,1,1,,52 Holloway Road,N7 8BW
1780,Enfield Road,585000,Flat / Apartment,750,2,2,2,,London,N1 5EN
1781,Parkholme Road,1525000,House,1750,4,4,4,Hackney,London,E8 3AQ
1782,Dashwood House,1500000,Flat / Apartment,1311,3,3,3, Longfield Avenue,London,W5 2JU
1783,North Common Road,2950000,House,4125,6,6,6,Ealing,London,W5 2QB
1784,North Avenue,2950000,House,3165,5,5,5,Ealing,London,W13 8AP
1785,Villiers Avenue,765000,House,1143,3,3,3,Surbiton,Surrey,KT5 8BH
1786,Berrylands Road,1050000,House,1949,4,4,4,Surbiton,Surrey,KT5 8PD
1787,Magna Square,850000,House,1326,3,3,3,East Sheen,London,SW14 8LH
1788,Cinnabar Wharf West,999500,Flat / Apartment,796,2,2,2,22 Wapping High Street,London,E1W 1NJ
1789,Bickley Street,525000,Flat / Apartment,714,2,2,2,,London,SW17 9NE
1790,Cavendish Road,550000,Flat / Apartment,701,2,2,2,Balham,London,SW12 0PQ
1791,Calbourne Road,1350000,House,1605,4,4,4,,London,SW12 8LR
1792,Addison Gardens,825000,Flat / Apartment,753,2,2,2,,London,W14 0DP
1793,Foundry House,699995,Flat / Apartment,791,2,2,2, Canary Wharf,London,E14 6NJ
1794,Malpas Road,590000,House,1271,4,4,4,,London,E8 1NA
1795,Burnfoot Avenue,1650000,House,2042,5,5,5, Fulham,London,SW6 5EA
1796,College Building,625000,Flat / Apartment,776,1,1,1,3 Forfar Road,London,SW11 4FR
1797,Goswell Road,750000,Flat / Apartment,789,2,2,2,Islington,London,EC1V 7AH
1798,London Mill Apartments,539000,Flat / Apartment,610,2,2,2,Whiston Road,London,E2 8FS
1799,St. Charles Square,699950,Flat / Apartment,602,2,2,2,North Kensington,London,W10 6EN
1800,Enmore Gardens,1500000,House,1580,4,4,4,,London,SW14 8RF
1801,East Sheen Avenue,2500000,House,3058,6,6,6,,London,SW14 8AU
1802,Lowndes Square,1495000,Flat / Apartment,886,2,2,2,,London,SW1X 9JU
1803,Eagle Wharf Court,1100000,Flat / Apartment,1058,2,2,2,Lafone Street,London,SE1 2LZ
1804,Corfton Road,3000000,Flat / Apartment,6049,5,5,5,,London,W5 2HT
1805,Christchurch Road,2695000,House,2938,6,6,6,,London,SW14 7AT
1806,Drapers Court,725000,Flat / Apartment,800,2,2,2,59 Lurline Gardens,London,SW11 4DF
1807,Belgrave Mansions,1700000,Flat / Apartment,1303,3,3,3,Belgrave Gardens,London,NW8 0RA
1808,Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET
1809,Admiralty Avenue,999995,House,1855,3,3,3,,London,E16 2PL
1810,Baynes Mews,3650000,House,3070,5,5,5,Belsize Park,London,NW3 5BH
1811,Battersea Square,1295000,Flat / Apartment,1471,2,2,2,,London,SW11 3RA
1812,Tavistock Place,1395000,Flat / Apartment,847,2,2,2,,London,WC1H 9SH
1813,Curzon Square,2850000,Flat / Apartment,1091,2,2,2,Mayfair,London,W1J 7FZ
1814,Phoenix Way,470000,Flat / Apartment,531,1,1,1,,London,SW18 2PW
1815,Wellington House,830000,Flat / Apartment,551,1,1,1,70 Buckingham Gate,London,SW1E 6AL
1816,Lowfield Road,1250000,House,1872,4,4,4,,London,W3 0AY
1817,St. George's Square,895000,Flat / Apartment,836,2,2,2,Pimlico,London,SW1V 2HX
1818,Parkside Avenue,8000000,House,6713,8,8,8,Wimbledon,London,SW19 5ES
1819,Bedford Villas,825000,House,1443,3,3,3,Whitehead Close,London,SW18 3EP
1820,Banbury House,625000,Flat / Apartment,925,3,3,3,Banbury Road,London,E9 7EB
1821,Cadogan Square,2500000,Flat / Apartment,1033,3,3,3,,London,SW1X 0JW
1822,Cadogan Square,4000000,Flat / Apartment,1948,3,3,3,,London,SW1X 0HY
1823,Hale House,3950000,Flat / Apartment,2573,3,3,3,34 De Vere Gardens,London,W8 5AQ
1824,Almorah Road,675000,Flat / Apartment,722,2,2,2,Canonbury,London,N1 3EU
1825,Sanderling Lodge,925000,Flat / Apartment,969,2,2,2,Star Place,London,E1W 1AJ
1826,Calbourne Road,1550000,House,1963,4,4,4,,London,SW12 8LW
1827,Albany Mansions,999950,Flat / Apartment,927,2,2,2,Albert Bridge Road,London,SW11 4PQ
1828,Ability Place,715000,Flat / Apartment,969,2,2,2, Canary Wharf,London,E14 9DF
1829,White Hart Lane,1650000,House,1869,4,4,4,Barnes,London,SW13 0PU
1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
1831,Atlantic House,850000,Penthouse,1249,3,3,3, Shoreditch,London,E2 8HH
1832,New North Road,475000,Flat / Apartment,477,1,1,1,Hoxton,London,N1 6JB
1833,Bateman's Row,950000,Flat / Apartment,1190,2,2,2,,London,EC2A 3HH
1834,Cicada Road,1250000,House,1658,4,4,4,Wandsworth,London,SW18 2NN
1835,Ennismore Avenue,2500000,House,2960,5,5,5,Chiswick,London,W4 1SF
1836,Arbrook Lane,1950000,House,2817,6,6,6,Esher,Surrey,KT10 9EG
1837,Riverside Court,2950000,Penthouse,2128,3,3,3,20 Nine Elms Lane,London,SW8 5BZ
1838,Great Sutton Street,1395000,Flat / Apartment,1150,2,2,2,,London,EC1V 0DP
1839,Otto Building,1300000,Penthouse,1476,3,3,3,Downs Road,London,E5 8DE
1840,Albany Mansions,1025000,Flat / Apartment,947,3,3,3,Albert Bridge Road,London,SW11 4PQ
1841,White Horse Lane,650000,House,997,2,2,2,,London,E1 4LR
1842,Mount Park Road,2000000,House,2593,4,4,4,Harrow On The Hill,Middlesex,HA1 3LD
1843,Bushberry Road,950000,House,1298,4,4,4,,London,E9 5SX
1844,Wilmington House,500000,Flat / Apartment,572,1,1,1, Highbury,London,N5 1RX
1845,Garnet Street,1200000,House,1125,3,3,3,,London,E1W 3QS
1846,Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA
1847,Geraldine Road,1350000,House,1873,5,5,5,Wandsworth,London,SW18 2NR
1848,Furlong Road,1899950,House,1250,3,3,3,,London,N7 8LS
1849,Morpeth Mansions,2100000,Flat / Apartment,1556,4,4,4,Morpeth Terrace,London,SW1P 1ET
1850,Lord North Street,3900000,House,2139,3,3,3,,London,SW1P 3LD
1851,No.1 Grosvenor Square,39750000,New development,5623,5,5,5,Mayfair,London,W1K 4AB
1852,No.1 Grosvenor Square,14250000,New development,2415,3,3,3,Mayfair,London,W1K 4AB
1853,Montpelier Road,1300000,Flat / Apartment,1986,3,3,3,,London,W5 2QS
1854,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
1855,Auriol Road,409950,Flat / Apartment,463,1,1,1,,London,W14 0SR
1856,Allfarthing Lane,735000,Flat / Apartment,983,3,3,3,Wandsworth,London,SW18 2PG
1857,Provost Street,495000,Flat / Apartment,499,1,1,1,Old Street,London,N1 7NB
1858,City Lofts,875000,Flat / Apartment,898,1,1,1, Shoreditch,London,EC2A 4LE
1859,Randolph Avenue,1250000,Flat / Apartment,913,2,2,2,,London,W9 1DJ
1860,Marlborough,700000,Flat / Apartment,870,2,2,2,Maida Vale,London,W9 1RW
1861,No.1 Grosvenor,8250000,New development,1455,2,2,2,Mayfair,London,W1K 4AB
1862,Southgate Road,835000,Flat / Apartment,878,2,2,2,,London,N1 3JZ
1863,Orsman Road,800000,New development,920,3,3,3,Hackney,London,N1 5QJ
1864,York Avenue,1950000,House,2006,5,5,5,,London,SW14 7LG
1865,Globe Road,725000,House,904,3,3,3,,London,E1 4DY
1866,Orchard Building,900000,Flat / Apartment,802,2,2,2, Clerkenwell,London,EC1V 3AP
1867,Park Lane,800000,Flat / Apartment,532,1,1,1,Mayfair,London,W1K 7AF
1868,Rusthall Avenue,2550000,House,2679,5,5,5,Chiswick,London,W4 1BW
1869,The Drive,1400000,Bungalow,2921,4,4,4, Uxbridge,Middlesex,UB10 8AF
1870,Shirland Road,675000,Flat / Apartment,676,1,1,1,Maida Vale,London,W9 2BT
1871,Herndon Road,725000,Flat / Apartment,875,2,2,2,,London,SW18 2DQ
1872,Sir John Lyon House,3950000,Flat / Apartment,2780,3,3,3,8 High Timber Street,London,EC4V 3PA
1873,Montrose Gardens,4750000,House,8590,7,7,7,Oxshott,Surrey,KT22 0UU
1874,Grosvenor Road,2250000,House,2736,5,5,5,Chiswick,London,W4 4EH
1875,Leys Road,4300000,House,9623,7,7,7,Oxshott,Surrey,KT22 0QE
1876,Huron Road,2550000,House,3753,7,7,7,,London,SW17 8RD
1877,Herondale Avenue,5500000,House,4292,6,6,6,Wandsworth,London,SW18 3JN
1878,Victoria Rise,435000,Flat / Apartment,465,1,1,1,,London,SW4 0PF
1879,Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,,London,N4 4QA
1880,Denton Road,1800000,House,2098,4,4,4,,Twickenham,TW1 2TN
1881,Gunmakers Lane,435000,Flat / Apartment,506,1,1,1,,London,E3 5GG
1882,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
1883,Highstone House,1550000,Flat / Apartment,1315,3,3,3,21 Highbury Crescent,London,N5 1RX
1884,Vincent Square,3600000,House,2600,4,4,4,,London,SW1P 2NP
1885,Elsham Road,750000,Flat / Apartment,709,2,2,2,,London,W14 8HB
1886,Cambridge Street,680000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE
1887,Roden Street,1395000,House,1428,5,5,5,Holloway,London,N7 6QJ
1888,Bolanachi Building,575000,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX
1889,Barham Road,2675000,House,3595,5,5,5,Wimbledon,London,SW20 0ET
1890,Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB
1891,Wellington Close,2300000,House,1447,2,2,2,,London,W11 2AN
1892,Kenilworth Gardens,520000,House,1162,4,4,4,,London,SE18 3JB
1893,Hillbrook Road,875000,House,1140,4,4,4,,London,SW17 8SF
1894,Television Centre,740000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS
1895,Phoenix Way,525000,Flat / Apartment,699,2,2,2,,London,SW18 2PW
1896,Brunswick Gardens,9500000,House,4454,5,5,5,,London,W8 4AJ
1897,Wood Crescent,1250000,Flat / Apartment,897,2,2,2,,London,W12 7GP
1898,Graveney Road,795000,House,1236,3,3,3,,London,SW17 0EQ
1899,Philbeach Gardens,935000,Flat / Apartment,683,2,2,2,,London,SW5 9DY
1900,Chiswick Village,535000,Flat / Apartment,678,2,2,2,,London,W4 3DF
1901,Sulgrave Road,1995000,House,2055,4,4,4,,London,W6 7QH
